iter	Logloss
0	0.6770660378
1	0.6596144343
2	0.6425306989
3	0.6274048281
4	0.6133566425
5	0.5999058179
6	0.5902921493
7	0.5798416916
8	0.5757037048
9	0.5692487757
10	0.5607357957
11	0.5560627769
12	0.5500925049
13	0.5441064991
14	0.5387704047
15	0.5330335884
16	0.5326271175
17	0.5271009223
18	0.5233000182
19	0.5182428646
20	0.5140740619
21	0.5115775794
22	0.5107832371
23	0.5076959579
24	0.5067871541
25	0.5048630631
26	0.5011580711
27	0.4971140389
28	0.4942181748
29	0.4934867914
30	0.491940237
31	0.4897013298
32	0.4864134272
33	0.4840029265
34	0.4823794603
35	0.4806830796
36	0.4783616132
37	0.4778597855
38	0.4771934585
39	0.4770585554
40	0.4757470913
41	0.4749783569
42	0.4749155564
43	0.472833823
44	0.4716824941
45	0.4696138602
46	0.4665753616
47	0.4648173044
48	0.4626850119
49	0.4616043353
50	0.4614991326
51	0.461430054
52	0.4600122417
53	0.4594664598
54	0.4585492376
55	0.4566399397
56	0.4553877312
57	0.4537728251
58	0.4526494002
59	0.450204241
60	0.4501990427
61	0.4490335711
62	0.4490139013
63	0.4472110995
64	0.4457904196
65	0.4455091812
66	0.444242562
67	0.443039928
68	0.4422279557
69	0.44221259
70	0.4415331834
71	0.4404672519
72	0.4403964262
73	0.4394802137
74	0.4381770079
75	0.4378426458
76	0.4363913306
77	0.4348118049
