iter	Passed	Remaining
0	6	6547
1	10	5271
2	13	4569
3	17	4339
4	20	4012
5	22	3797
6	25	3606
7	27	3421
8	29	3251
9	32	3185
10	34	3112
11	37	3050
12	39	2981
13	41	2925
14	43	2856
15	46	2858
16	47	2772
17	50	2740
18	52	2689
19	54	2655
20	56	2626
21	58	2601
22	59	2542
23	61	2497
24	62	2444
25	64	2415
26	66	2408
27	69	2398
28	71	2380
29	72	2341
30	74	2319
31	76	2301
32	77	2281
33	80	2278
34	82	2272
35	84	2273
36	87	2273
37	88	2249
38	90	2222
39	91	2196
40	93	2179
41	94	2156
42	95	2128
43	97	2113
44	99	2107
45	101	2105
46	103	2107
47	106	2103
48	108	2097
49	109	2087
50	111	2069
51	112	2050
52	114	2050
53	116	2044
54	118	2041
55	120	2035
56	122	2026
57	124	2021
58	126	2012
59	128	2008
60	129	1994
61	131	1992
62	133	1978
63	135	1976
64	136	1969
65	138	1956
66	140	1954
67	142	1952
68	144	1946
69	145	1934
70	147	1925
71	148	1919
72	150	1905
73	151	1896
74	153	1889
75	154	1881
76	156	1875
77	158	1869
